PU.1_Target_Genes (RGAGGAARY_PU1_Q6.v2024.1.Hs),,,,,,,,,
ABI1,ABI3,ACOT7,ACSBG1,ACSL4,ACVRL1,ADAM15,ADAP1,ADCY4,ADD3
ADGRG1,ADORA1,ADORA3,AGAP2,AHR,ALDOA,ANGPT1,ANGPT2,ANGPTL1,ANGPTL2
ANKRD28,ANP32A,APOBR,AR,ARAP1,ARFGAP2,ARFGEF1,ARHGAP30,ARHGEF15,ARHGEF4
ARL6IP6,ASB2,ASB7,ASPHD1,ATP13A2,ATP1B3,ATP5PD,ATPAF2,BAG1,BCL2
BCLAF3,BIN2,BMP5,BNC2,BRAF,BRD9,C1orf122,C1orf162,C1QTNF5,CA4
CACNA1D,CACNA1G,CALHM2,CAMK1D,CAMK2B,CAPN3,CBFA2T3,CCDC68,CCDC88B,CCN1
CCR7,CD101,CD200R1,CD37,CD5,CD79B,CDC5L,CDK8,CDV3,CDX2
CEBPE,CEBPG,CEP135,CFAP251,CHD2,CHMP5,CKB,CLIC1,CLNK,CLSTN3
CMYA5,CNNM1,CNOT6L,CNST,CORO1C,CPEB4,CREB3,CREB5,CSF1,CSF2
CSF3,CTBP2,CTNND1,CTSA,CUEDC1,CXCR3,CXXC5,CYB5R3,CYP1B1-AS1,CYTH4
CYTOR,DALRD3,DCAF1,DCANP1,DDX23,DHH,DHX30,DLAT,DLC1,DLX4
DMP1,DMTF1,DNAI4,DNMT3A,DOCK11,DOK2,DOP1A,DPP8,E2F3,EFNA1
EFNB3,EGLN2,EID1,EIF4EBP1,ELMO1,ELN,ELOVL6,EMC6,EMCN,EMX2
ERBB3,ESM1,ESRRA,ETF1,ETV6,EVA1A,EVA1B,EVI2B,EVX1,FAM110A
FAM241A,FAM241B,FAM3D,FAM81A,FAT1,FBXL20,FBXO11,FCRLA,FGD2,FGF14
FGF20,FLNC,FMNL1,FOXA1,FOXO4,FRMD8,FYN,G6PC3,GAL3ST3,GALE
GALNT4,GAREM1,GCK,GGNBP2,GID4,GIMAP4,GIT2,GLRX5,GLT8D2,GNGT2
GPAT3,GPN2,GPR107,GPR137B,GPR162,GPR173,GPR85,GRIN2B,HAPLN1,HAUS3
HHEX,HMGN3,HNRNPUL1,HOXA1,HOXB8,HOXC4,HOXC6,HPRT1,HR,HTR2B
HTR3B,HYAL3,ICA1,ICAM2,ID3,IER5L,IKZF2,IL12B,IL13,IL17C
IL17RE,IL4I1,IMPDH1,INPP5F,IRAG2,IRAK4,IRF2BPL,IRF8,ITGA11,ITGA2B
ITGAL,ITGB7,ITPR2,ITPRIPL1,KALRN,KCNMB3,KCNQ1,KCNQ5,KIFC3,KIRREL3
KIRREL3-AS3,KLHL3,KRT23,LAMP2,LANCL3,LCP2,LEMD1,LGALS4,LIF,LINC00525
LINC01138,LINC03040,LINS1,LRRC28,LRRC32,LRRFIP1,LSM12,LTA,LTB4R,LTC4S
LUC7L,LYL1,LYN,MAGED1,MAP1S,MAP2K1,MAP4K2,MAP9,MARK3,MATN3
MAX,MEIS2,MGAT4C,MIER1,MIRLET7BHG,MLLT10,MMP9,MMRN2,MOB3C,MPO
MR1,MSH5,MSX1,MTMR12,MTPN,MTX2,MUC13,MXD4,NAA80,NAV1
NAV2,NCAM1,NCEH1,NCKAP1L,NCLN,NDFIP1,NDN,NDUFAF3,NEURL2,NFAT5
NFYA,NHERF1,NINJ2,NIPBL,NKX2-2,NLGN3,NOSTRIN,NPNT,NPTN,NR3C2
NRP1,NTS,NUFIP2,OARD1,ORC4,ORMDL3,OSBPL7,OSER1,OTP,OVOL2
P2RY10,PABPC1,PACC1,PARP8,PATZ1,PAX6,PAX8,PBX4,PCDH10,PCDH17
PCDH9,PCDHAC2,PCDHGA5,PCSK5,PDLIM2,PFKFB4,PI4K2A,PI4KB,PIK3AP1,PIK3CG
PIK3R3,PITX2,PKN1,PLA2G4A,PLAGL2,PLAT,PLCB2,PLCD1,PLD3,PLVAP
PLXNC1,PML,POC1B,POFUT1,POLD3,POLD4,POU2AF1,PPP1CC,PPP1R14C,PPP4R3B
PPRC1,PRDM5,PRICKLE1,PROSER3,PRSS27,PSD3,PSEN1,PSIP1,PTAFR,PTBP3
PTGDR2,PTGIR,PTGS1,PTHLH,PTK7,PTPN22,PTPN6,PTPN7,PTPRCAP,PTPRH
PTPRJ,PUS7L,RAB20,RAB2B,RAB39A,RAB5C,RAC2,RALA,RALY,RAPGEF1
RASGRP3,RASIP1,RBM6,RBMS3,RBP5,RERG,REST,RGS12,RHOJ,RILPL1
RINL,RLIM,ROCK1,RORA,RORC,RPL28,RTP1,RUFY1,RXFP4,S100A10
S100G,SAMSN1,SCAF8,SCG3,SCRT2,SEC14L2,SEC16B,SECISBP2L,SEMA6B,SEPTIN1
SH2D3C,SH3RF1,SH3TC1,SIK3,SIPA1,SKAP1,SLA2,SLC12A4,SLC16A6,SLC1A5
SLC39A14,SLC41A1,SLC43A2,SLC7A1,SLC9B2,SMOX,SMS,SNCG,SOST,SOX5
SPATA6,SPECC1,SPI1,SPRED2,SRC,SRP72,SRRM1,SSBP4,ST8SIA4,STAB1
STAP1,STARD13,STAT5A,STC2,SWT1,SYNRG,SYT7,SYTL1,TACR1,TAOK2
TAX1BP3,TBC1D10B,TBC1D10C,TBC1D8,TBCC,TCF12,TCIRG1,TFAP4,TFB2M,TFE3
TGM7,TIE1,TIMELESS,TLL1,TLN1,TLR4,TMC3,TMEM178A,TMEM185A,TMEM204
TMEM59L,TMOD3,TMPO,TMPRSS11D,TNF,TNFSF11,TNFSF13,TNFSF14,TNK1,TOB2
TPM2,TPM3,TREML2,TREX2,TRIM63,TRIP13,TRMT1L,TRPV2,TTC23,TWIST1
TYROBP,UBALD2,UNC13D,USP46,UXT,VASN,VASP,VAV1,VDAC2,VGLL4
VIM,VIP,VSIG10,VSIG2,WASF2,WDFY3,WDFY3-AS2,WIPI2,WNT3,WNT5A
WNT6,WNT9B,XIAP,YRDC,YWHAQ,YWHAZ,ZBTB14,ZBTB7A,ZFAND3,ZFYVE1
ZNF384,ZNF502,ZNF532,ZNF777,ZNFX1,,,,,
GATA1_Target_Genes (GATA1_04.v2024.1.Hs),,,,,,,,,
HNF4G,HOXA10,HOXA13,HOXB7,HOXB9,HOXC10,HOXC12,HOXD1,HS3ST4,HTR7
ICAM4,ID3,IFRD2,IGF1,IL3,IL34,IL5,IMPG1,INHA,INTS5
IP6K2,ISL1,JUN,KIF3C,KIRREL2,KLF1,KLF12,LIN28A,LINC00656,LINC00670
LINC01341,LMO2,LRR1,LUC7L3,LYL1,MAGED2,MAMDC4,MAML3,MAP4K3,MAP4K5
MBNL2,MECOM,MITF,MMP23A,MMP23B,MOGAT2,MSI2,MSR1,MST1,MTMR4
MYBPC3,MYO1C,MYOT,MYRF,NDRG2,NDUFA4L2,NEUROD6,NEUROG3,NFE2,NFRKB
