mgi_symbol,id,ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,strand,start_position,end_position,gene_biotype,M356URE.Mdmx,M358URE,M372URE,M373URE,M381URE.Mdmx,M384URE.Mdmx,neglog10_padj,n_samples_above0,is_surface,CSPA_category,UP_Protein_name,CD
"",ENSMUSG00000115423.2,ENSMUSG00000115423,833.8844503,0.352198543,0.235830864,1.493437025,0.135322827,0.446883679,2,-1,136881271,136891389,protein_coding,943.1918931,734.9638197,807.8928041,683.848169,1006.432066,834.6419017,0.349805506269766,6,TRUE,"","",""
"",ENSMUSG00000115018.2,ENSMUSG00000115018,278.2316081,-0.536255366,0.772616834,-0.69407673,0.487634091,0.791608563,2,-1,25244819,25246863,protein_coding,182.7093971,178.3762998,588.2485958,225.0563511,89.64890531,403.6014631,0.10148951658346,6,TRUE,"","",""
Abca1,ENSMUSG00000015243.4,ENSMUSG00000015243,582.7759479,1.04601257,0.276787426,3.779118815,0.000157384,0.009115065,4,-1,53030787,53159895,protein_coding,722.6203955,300.9666753,412.5615087,380.0571025,759.9956767,730.3159238,2.04024023002155,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 1,no
Abca2,ENSMUSG00000026944.18,ENSMUSG00000026944,2410.380826,0.480876688,0.209814518,2.291913317,0.021910646,0.168441907,2,1,25428703,25448540,protein_coding,3427.284429,2735.212179,2051.671557,2757.317751,3135.246492,3721.855688,0.773549850397767,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 2,no
Abca3,ENSMUSG00000024130.16,ENSMUSG00000024130,1350.368227,-0.562355981,0.468717533,-1.199775859,0.230226402,0.575438338,17,1,24351950,24410201,protein_coding,1124.253555,1713.253968,1270.126299,1772.190087,1549.855775,467.4407946,0.240001207049115,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 3,no
Abca7,ENSMUSG00000035722.15,ENSMUSG00000035722,1304.344922,-0.057178513,0.361531627,-0.158156324,0.874333619,0.966809034,10,1,79996494,80015572,protein_coding,1060.626836,1083.153083,1020.61907,1946.581409,1188.380022,1550.053646,0.0146593001365232,6,TRUE,1 - high confidence,ATP-binding cassette sub-family A member 7,no
Abcb1a,ENSMUSG00000040584.8,ENSMUSG00000040584,122.5692444,1.580196678,1.357808871,1.163784323,0.244511427,0.592192646,5,1,8660077,8748575,protein_coding,84.90879234,1.246518102,151.1466774,24.80306748,312.7120444,129.4646345,0.227536990093377,6,TRUE,1 - high confidence,Multidrug resistance protein 3,no
Abcc1,ENSMUSG00000023088.17,ENSMUSG00000023088,1138.267624,-0.712293443,0.379179298,-1.878513533,0.060310948,0.29323672,16,1,14361558,14475737,protein_coding,896.7186651,1900.298883,1147.271901,1324.511383,1138.55002,568.4979223,0.5327816469407,6,TRUE,1 - high confidence,Multidrug resistance-associated protein 1,no
Abcc5,ENSMUSG00000022822.16,ENSMUSG00000022822,1225.03416,0.529110928,0.289417228,1.828194302,0.067520396,0.312211049,16,-1,20331303,20426394,protein_coding,1507.337527,1063.107003,830.9973316,1016.555654,1593.629013,1002.372506,0.505551731527218,6,TRUE,2 - putative,Multidrug resistance-associated protein 5,no
Abhd14a,ENSMUSG00000042210.17,ENSMUSG00000042210,2034.746248,0.063959587,0.366316202,0.174602124,0.861392279,0.962639818,9,-1,106440051,106447678,protein_coding,2595.881192,1847.631446,2873.963324,1376.876801,1918.481181,1756.110465,0.0165361784159502,6,TRUE,3 - unspecific,Abhydrolase domain-containing protein 14A,no
Acaa2,ENSMUSG00000036880.10,ENSMUSG00000036880,7010.22203,-0.185404142,0.252097944,-0.735444882,0.462068596,0.773518767,18,1,74779197,74806208,protein_coding,4969.754061,6665.84747,8688.873413,7278.865931,7687.388233,6843.877369,0.111529145047136,6,TRUE,3 - unspecific,"3-ketoacyl-CoA thiolase, mitochondrial",no
Acly,ENSMUSG00000020917.17,ENSMUSG00000020917,6846.913793,-0.626631565,0.208849647,-3.000395615,0.002696292,0.051619003,11,-1,100476353,100528000,protein_coding,6173.725101,9898.128183,7410.460767,7863.328193,4915.085333,4850.391219,1.28719038793202,6,TRUE,3 - unspecific,ATP-citrate synthase,no
Acp2,ENSMUSG00000002103.15,ENSMUSG00000002103,1938.478392,-0.002361284,0.503992859,-0.004685153,0.996261802,0.998772073,2,1,91202885,91214098,protein_coding,1858.352774,2068.361586,1526.141164,2462.854795,810.3059802,3240.74475,0.000533609604189673,6,TRUE,1 - high confidence,Lysosomal acid phosphatase,no
Acvr1,ENSMUSG00000026836.15,ENSMUSG00000026836,47.20439856,0.179674693,2.341235319,0.076743543,0.938827564,0.986571659,2,-1,58388644,58567157,protein_coding,0,0,102.1464487,32.04438702,18.96980962,131.9586265,0.00587136456483566,4,TRUE,1 - high confidence,Activin receptor type-1,no
Acvr2a,ENSMUSG00000052155.5,ENSMUSG00000052155,333.9847272,1.627877759,0.724175304,2.247905652,0.024582207,0.178996903,2,1,48814109,48903269,protein_coding,324.0637442,81.24357626,234.2502134,267.4421912,347.6769312,1100.637064,0.747154483107515,6,TRUE,1 - high confidence,Activin receptor type-2A,no
Acvr2b,ENSMUSG00000061393.14,ENSMUSG00000061393,151.0157753,2.775653414,0.989950584,2.803830271,0.005049948,0.072358093,9,1,119402118,119434995,protein_coding,51.26986989,29.33501859,45.84289278,8.337841946,123.4086832,390.284033,1.14051288750723,6,TRUE,1 - high confidence,Activin receptor type-2B,no
Adam10,ENSMUSG00000054693.14,ENSMUSG00000054693,18088.69629,0.609647787,0.224777088,2.712232779,0.006683164,0.084669794,9,1,70678997,70780229,protein_coding,18474.84138,14164.77977,16375.26582,12851.38057,20032.93031,26388.20385,1.07227149685728,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 10,CD156c
Adam12,ENSMUSG00000054555.11,ENSMUSG00000054555,26.2411858,1.07947041,1.986452136,0.54341627,0.586843226,0.848353123,7,-1,133883199,134232146,protein_coding,4.736014844,25.69400648,0,11.78876324,66.37790954,4.767463334,0.0714233370730679,5,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 12,no
Adam17,ENSMUSG00000052593.16,ENSMUSG00000052593,2540.337282,-0.245919704,0.324789704,-0.757165946,0.448950449,0.765409152,12,-1,21323509,21373632,protein_coding,2725.331154,2375.600672,1987.936064,3835.334814,2006.522622,2016.162781,0.116106349219782,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 17,CD156b
Adam22,ENSMUSG00000040537.17,ENSMUSG00000040537,177.4528434,1.943067969,0.884874611,2.195868143,0.028101382,0.194282042,5,-1,8072352,8368160,protein_coding,59.27725719,96.94732377,34.59255195,98.53847595,487.7810708,314.6139185,0.711567340525996,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 22,no
Adam9,ENSMUSG00000031555.15,ENSMUSG00000031555,676.3176725,-0.467412465,0.404232613,-1.15629578,0.247560194,0.595365985,8,-1,24949611,25016927,protein_coding,476.5440965,556.7542118,737.0859269,1082.393644,737.1694669,465.4743428,0.225215981494455,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 9,no
Adamtsl4,ENSMUSG00000015850.11,ENSMUSG00000015850,244.734024,0.230507428,0.789250256,0.292058731,0.770241719,0.934097948,3,-1,95676201,95687917,protein_coding,235.4389266,145.7931794,103.8977383,352.9547946,73.32044639,381.6424578,0.0296075819652085,6,TRUE,1 - high confidence,ADAMTS-like protein 4,no
Adcy6,ENSMUSG00000022994.9,ENSMUSG00000022994,349.3531023,-0.02800247,0.697319671,-0.040157292,0.967967726,0.994324297,15,-1,98589973,98610076,protein_coding,236.0695002,260.2125817,519.8486716,290.6148511,139.4872874,658.6447818,0.002471948170408,6,TRUE,2 - putative,Adenylate cyclase type 6,no
Adcy9,ENSMUSG00000005580.11,ENSMUSG00000005580,610.9139945,-0.176148982,0.471178346,-0.373847788,0.708517563,0.905823595,16,-1,4287529,4420498,protein_coding,508.4486435,501.8467273,751.854218,711.2688779,866.4834878,327.7587671,0.0429563709517594,6,TRUE,2 - putative,Adenylate cyclase type 9,no
Adora2b,ENSMUSG00000018500.2,ENSMUSG00000018500,83.54250169,-1.776709338,1.526671521,-1.163779708,0.244513297,0.592192646,11,1,62248984,62266453,protein_coding,84.21170485,72.20497744,86.93726293,235.3829059,0,28.37627978,0.227536990093377,5,TRUE,1 - high confidence,Adenosine receptor A2b,no
Afp,ENSMUSG00000054932.6,ENSMUSG00000054932,151.7371568,1.286878862,0.629539863,2.044157864,0.040937954,0.237415949,5,1,90490737,90508907,protein_coding,145.1940459,55.90447534,136.391026,60.44525741,233.8745581,229.0940554,0.624490109602016,6,TRUE,1 - high confidence,Alpha-fetoprotein,no
Agtr1a,ENSMUSG00000049115.15,ENSMUSG00000049115,170.914406,-0.524890015,1.863671381,-0.281643009,0.778217259,0.936204831,13,1,30336441,30382867,protein_coding,1.948045036,91.3496037,314.0671463,180.1027209,397.0474519,0,0.028629122158343,5,TRUE,1 - high confidence,Type-1A angiotensin II receptor,no
Ahsg,ENSMUSG00000022868.6,ENSMUSG00000022868,96.56688002,-0.492309728,1.0506666,-0.468568933,0.639377788,0.875539586,16,1,22891277,22899449,protein_coding,9.428041718,85.90542313,90.68885813,167.039471,68.89316834,160.0496001,0.0577242132667692,6,TRUE,1 - high confidence,Alpha-2-HS-glycoprotein,no
Alcam,ENSMUSG00000022636.13,ENSMUSG00000022636,892.7881702,-0.251237273,0.303195717,-0.82863068,0.407313422,0.73733767,16,-1,52248996,52454074,protein_coding,1168.915052,1073.671084,979.0409037,1278.072576,836.3201054,731.0563334,0.132333577767565,6,TRUE,1 - high confidence,CD166 antigen,CD166
Alpl,ENSMUSG00000028766.10,ENSMUSG00000028766,52.6095373,-2.604849628,2.141065088,-1.216613938,0.223751137,0.567989996,4,-1,137741733,137796384,protein_coding,0,158.6118835,97.94614478,17.62077068,43.91147606,0,0.245659313444365,4,TRUE,1 - high confidence,"Alkaline phosphatase, tissue-nonspecific isozyme",no
Amigo1,ENSMUSG00000050947.9,ENSMUSG00000050947,134.9070633,-0.092996956,1.230720573,-0.075563014,0.939766763,0.986865561,3,1,108186335,108192286,protein_coding,101.4020683,94.73608316,88.16791691,294.8538742,328.1072739,6.28118142,0.00574200649205743,6,TRUE,1 - high confidence,Amphoterin-induced protein 1,no
Angpt1,ENSMUSG00000022309.9,ENSMUSG00000022309,12184.02683,0.900468095,0.426517016,2.111212594,0.034754043,0.218544583,15,-1,42424723,42676977,protein_coding,16871.51077,4616.810724,13033.1634,8077.569125,10659.92261,19769.09803,0.660459953769911,6,TRUE,1 - high confidence,Angiopoietin-1,no
Angptl2,ENSMUSG00000004105.8,ENSMUSG00000004105,27.59712676,2.445117167,2.94707937,0.829674692,0.406722734,0.737097268,2,1,33216069,33247717,protein_coding,90.26515447,0,25.39494889,0,0,48.66491239,0.132475198479708,3,TRUE,1 - high confidence,Angiopoietin-related protein 2,no
Angptl4,ENSMUSG00000002289.16,ENSMUSG00000002289,995.8875341,0.395594337,0.45393907,0.871470124,0.383497512,0.720868635,17,-1,33773750,33781830,protein_coding,730.2824966,964.0911965,1110.579339,505.0623339,1063.688531,1537.811372,0.1421438702217,6,TRUE,1 - high confidence,Angiopoietin-related protein 4,no
Ano6,ENSMUSG00000064210.7,ENSMUSG00000064210,1221.497091,0.531558385,0.354800553,1.498189279,0.13408408,0.445170606,15,1,95790843,95974751,protein_coding,1617.201692,1554.578104,1025.809464,789.9033327,1275.156214,1871.356235,0.351473519255211,6,TRUE,1 - high confidence,Anoctamin-6,no
Antxr2,ENSMUSG00000029338.13,ENSMUSG00000029338,241.6558737,-0.445569369,1.456252569,-0.305969842,0.759627608,0.929242718,5,-1,97882783,98031043,protein_coding,304.3956424,260.6923205,177.2492665,415.646628,305.9301637,0,0.0318708335626737,5,TRUE,1 - high confidence,Anthrax toxin receptor 2,no
Anxa2,ENSMUSG00000032231.14,ENSMUSG00000032231,11279.16855,-0.60871784,0.373204226,-1.631058273,0.102878024,0.390090628,9,1,69453620,69491795,protein_coding,10718.36221,15366.26503,7160.99685,19196.3248,7787.630577,8136.011128,0.408834483568695,6,TRUE,1 - high confidence,Annexin A2,no
Ap2m1,ENSMUSG00000022841.15,ENSMUSG00000022841,25146.65845,-0.415377923,0.23798504,-1.745395102,0.080916118,0.343360812,16,1,20535478,20544909,protein_coding,24986.20827,33011.4403,22798.22767,32863.2206,17406.65796,22544.19276,0.464249272667596,6,TRUE,1 - high confidence,AP-2 complex subunit mu,no
Apmap,ENSMUSG00000033096.7,ENSMUSG00000033096,9510.160119,-0.637563581,0.306134053,-2.082628754,0.037285076,0.226703789,2,-1,150583080,150608567,protein_coding,8700.261461,12393.81246,7914.881734,14797.56482,5502.056642,7815.650723,0.644541221258394,6,TRUE,2 - putative,Adipocyte plasma membrane-associated protein,no
Aqp1,ENSMUSG00000004655.5,ENSMUSG00000004655,5882.956496,-1.431578077,1.280502041,-1.117981879,0.263574733,0.611295235,6,1,55336432,55348555,protein_coding,355.2904738,8922.116838,12171.22971,4868.195328,8416.233617,652.3209077,0.213748989489578,6,TRUE,2 - putative,Aquaporin-1,no
Armcx2,ENSMUSG00000033436.13,ENSMUSG00000033436,521.1188644,-0.014613517,0.625635811,-0.023357866,0.981364814,0.996354817,X,-1,134804145,134809221,protein_coding,575.5856123,195.0714484,691.5671563,645.1645696,258.1713676,657.6123704,0.00158597520668508,6,TRUE,3 - unspecific,Armadillo repeat-containing X-linked protein 2,no
Asah1,ENSMUSG00000031591.14,ENSMUSG00000031591,1852.281837,-0.166071057,0.305490426,-0.54362115,0.586702202,0.848238216,8,-1,41340197,41374773,protein_coding,2191.653847,1537.367588,2305.327374,1977.089557,1402.920658,1495.720643,0.0714821650005259,6,TRUE,3 - unspecific,Acid ceramidase,no
Asah2,ENSMUSG00000024887.10,ENSMUSG00000024887,156.3499469,0.904234016,0.875711581,1.032570581,0.301804901,0.650113886,19,-1,31982597,32108211,protein_coding,87.27545229,211.3221384,32.78795481,77.69992704,202.397009,293.8064885,0.18701055762031,6,TRUE,1 - high confidence,Neutral ceramidase,no
Atg9a,ENSMUSG00000033124.15,ENSMUSG00000033124,1447.350707,-0.422734217,0.398904022,-1.05973917,0.289263278,0.638844276,1,-1,75180860,75192196,protein_coding,1588.467824,1736.117302,974.7351359,2241.667207,937.5604599,1075.141109,0.194604992101299,6,TRUE,2 - putative,Autophagy-related protein 9A,no
Atp13a3,ENSMUSG00000022533.14,ENSMUSG00000022533,1213.445449,-0.26500348,0.43672478,-0.606797444,0.543985345,0.826584554,16,-1,30312423,30405975,protein_coding,1092.770386,1881.545293,1458.959178,636.1688996,1080.232861,1069.307118,0.0827127144368932,6,TRUE,2 - putative,Probable cation-transporting ATPase 13A3,no
Atp1a1,ENSMUSG00000033161.10,ENSMUSG00000033161,787.4671964,-0.831861603,0.282802185,-2.941496374,0.003266307,0.057208095,3,-1,101576219,101604684,protein_coding,669.6509524,1221.794529,918.9189374,935.4808008,531.6518022,488.4483813,1.24254251377537,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-1,no
Atp1a3,ENSMUSG00000040907.15,ENSMUSG00000040907,869.6239111,-1.652632391,0.643089401,-2.569833039,0.010174754,0.108049929,7,-1,24978167,25005958,protein_coding,461.3462993,2309.294846,346.7169179,1451.394367,309.7795132,497.5721001,0.966375514157124,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-3,no
Atp1b1,ENSMUSG00000026576.12,ENSMUSG00000026576,5168.08692,-0.258226272,0.291263815,-0.886571755,0.375309506,0.713340762,1,-1,164437109,164458355,protein_coding,4076.398675,5748.271782,3768.683871,6991.562208,5363.691534,4014.029195,0.146702958643169,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-1,no
Atp1b2,ENSMUSG00000041329.13,ENSMUSG00000041329,2194.770835,-1.7462518,0.880100046,-1.98415147,0.047238957,0.257799353,11,-1,69599736,69605942,protein_coding,243.6326363,3475.237731,5120.784654,1756.993918,2554.308676,227.2427955,0.588718176931733,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-2,no
Atp1b3,ENSMUSG00000032412.8,ENSMUSG00000032412,11855.3104,0.067384989,0.181727219,0.37080295,0.710784304,0.907133953,9,-1,96332655,96364442,protein_coding,12629.26807,12651.8337,10440.97695,11925.23098,13045.09661,10186.75621,0.0423285776000155,6,TRUE,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-3,CD298
Atp2a3,ENSMUSG00000020788.15,ENSMUSG00000020788,9748.202698,-1.252207494,0.438660997,-2.854613246,0.004308927,0.066436515,11,1,72961169,72993044,protein_coding,8930.866223,17460.67745,7847.182542,16762.8291,3498.65608,4790.814531,1.17759315701482,6,TRUE,2 - putative,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,no
Atp5h,ENSMUSG00000034566.10,ENSMUSG00000034566,13716.98292,-0.157290516,0.201649948,-0.780017639,0.435380493,0.75716436,11,-1,115415689,115419962,protein_coding,11752.97549,15376.63505,14220.13619,14477.84057,15704.26067,11186.91663,0.120809836625321,6,TRUE,3 - unspecific,"ATP synthase subunit d, mitochondrial",no
Atp6ap1,ENSMUSG00000019087.13,ENSMUSG00000019087,6978.396047,-0.258293095,0.211461536,-1.221466092,0.221909596,0.565502288,X,1,74297097,74304721,protein_coding,6362.620172,9155.380262,6437.194691,7875.92668,5601.943132,7204.815457,0.247565633596591,6,TRUE,1 - high confidence,V-type proton ATPase subunit S1,no
Atp6v0a2,ENSMUSG00000038023.12,ENSMUSG00000038023,2493.247266,-0.181531952,0.456743632,-0.397448239,0.691036949,0.89683206,5,1,124628576,124724455,protein_coding,3464.654825,3104.209899,1774.176194,2411.597629,1143.780444,1673.136575,0.0472888749534287,6,TRUE,1 - high confidence,V-type proton ATPase 116 kDa subunit a isoform 2,no
Atp6v1a,ENSMUSG00000052459.13,ENSMUSG00000052459,4597.193877,0.076795566,0.346131251,0.22186834,0.824416378,0.949465533,16,-1,44085402,44139705,protein_coding,5517.990829,5887.620644,2614.635039,5227.266288,3884.819956,4707.276584,0.0225207961714078,6,TRUE,3 - unspecific,V-type proton ATPase catalytic subunit A,no
Atrn,ENSMUSG00000027312.14,ENSMUSG00000027312,2978.46198,-0.444708683,0.46321005,-0.960058365,0.337025841,0.681567517,2,1,130906495,131030333,protein_coding,4051.156748,5279.64376,2411.019306,4318.752077,1394.858639,3165.032326,0.166491115899542,6,TRUE,1 - high confidence,Attractin,no
Axl,ENSMUSG00000002602.16,ENSMUSG00000002602,263.9806732,0.400254845,0.607631206,0.658713445,0.510079798,0.806084303,7,-1,25757273,25788705,protein_coding,352.5541887,145.0894046,341.5268239,154.1826977,325.2229825,155.6956842,0.0936195358461238,6,TRUE,1 - high confidence,Tyrosine-protein kinase receptor UFO,no
B3galt1,ENSMUSG00000034780.6,ENSMUSG00000034780,72.69308644,0.100211889,2.202379476,0.045501645,0.963707464,0.992805955,2,1,67565871,68122689,protein_coding,90.64718391,0,152.3224844,56.5276462,131.0148718,0,0.00313562653764705,4,TRUE,3 - unspecific,"Beta-1,3-galactosyltransferase 1",no
B3galt6,ENSMUSG00000050796.4,ENSMUSG00000050796,1051.16969,-0.553621818,0.462675617,-1.196565794,0.23147584,0.577459553,4,-1,155989466,155992649,protein_coding,1172.132945,1628.320552,872.0289995,1311.669085,929.629886,431.1307541,0.238478429659333,6,TRUE,3 - unspecific,"Beta-1,3-galactosyltransferase 6",no
B3gat3,ENSMUSG00000071649.6,ENSMUSG00000071649,864.2532434,-0.486909405,0.433406688,-1.123446913,0.261247735,0.608951474,19,1,8920374,8927236,protein_coding,680.7484684,1307.054738,503.6140669,1240.917181,625.5859677,812.8556915,0.215417313957765,6,TRUE,3 - unspecific,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,no
B3gnt2,ENSMUSG00000051650.11,ENSMUSG00000051650,4990.442652,-1.37004017,0.632062095,-2.167572112,0.030191257,0.201327167,11,-1,22759738,22860961,protein_coding,4105.72312,7367.57886,4176.522793,9985.517549,3405.079076,600.8776828,0.696097617649282,6,TRUE,2 - putative,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",no
B4galnt1,ENSMUSG00000006731.10,ENSMUSG00000006731,3455.087372,-1.135977741,0.440009505,-2.581711825,0.009831164,0.10628452,10,1,127165225,127172330,protein_coding,3315.210921,6344.862204,2760.263234,5451.125735,1698.195939,1442.661431,0.973529984471425,6,TRUE,3 - unspecific,"Beta-1,4 N-acetylgalactosaminyltransferase 1",no
B4galt3,ENSMUSG00000052423.14,ENSMUSG00000052423,1368.988571,-1.112130072,0.600927837,-1.850688226,0.064214419,0.30373315,1,1,171270328,171276896,protein_coding,1400.92319,2520.422341,829.6151209,1772.117631,529.7223365,378.7868567,0.517507805788694,6,TRUE,3 - unspecific,"Beta-1,4-galactosyltransferase 3",no
Bace2,ENSMUSG00000040605.7,ENSMUSG00000040605,84.73851666,-3.140520974,2.073142435,-1.514860205,0.12980781,0.44027334,16,1,97356742,97442936,protein_coding,0,259.3697276,15.26834245,184.7886572,49.9234193,0,0.356277611704754,4,TRUE,1 - high confidence,Beta-secretase 2,no
Bcam,ENSMUSG00000002980.14,ENSMUSG00000002980,87.97890367,1.100231544,1.405164559,0.782991243,0.433632255,0.756031748,7,-1,19756131,19771016,protein_coding,55.50483023,34.18679883,76.16118112,56.69132526,1.864218217,295.2683147,0.121459966811348,6,TRUE,1 - high confidence,Basal cell adhesion molecule,no
Bgn,ENSMUSG00000031375.17,ENSMUSG00000031375,62.43369003,-3.510895988,1.615534424,-2.173210261,0.029764496,0.200133566,X,1,73483602,73495933,protein_coding,22.65807633,62.45939409,243.2803712,18.32122985,0,5.660467933,0.698680066256071,5,TRUE,1 - high confidence,Biglycan,no
Bmp1,ENSMUSG00000022098.10,ENSMUSG00000022098,507.7144185,0.303043598,0.440850808,0.687406244,0.491826764,0.794764375,14,-1,70474558,70520234,protein_coding,383.6142401,308.2001745,413.5190954,630.1731819,559.9447391,686.3327737,0.0997616082049879,6,TRUE,1 - high confidence,Bone morphogenetic protein 1,no
Bmpr2,ENSMUSG00000067336.6,ENSMUSG00000067336,887.5374956,1.565542464,0.861549329,1.817124581,0.06919804,0.315940967,1,1,59763400,59879014,protein_coding,1066.56448,48.59301333,929.6093358,390.264736,922.6537498,2023.299551,0.500394056942294,6,TRUE,1 - high confidence,Bone morphogenetic protein receptor type-2,no
Boc,ENSMUSG00000022687.12,ENSMUSG00000022687,21.51426819,-3.926757805,2.370507383,-1.656505199,0.097619553,0.38086772,16,-1,44485049,44558897,protein_coding,4.058863608,20.77052362,99.86887546,0,3.824950297,0,0.419225833902304,4,TRUE,1 - high confidence,Brother of CDO,no
Bscl2,ENSMUSG00000071657.12,ENSMUSG00000071657,3605.207912,-0.564520678,0.244022844,-2.31339275,0.020701055,0.164448666,19,1,8837467,8848683,protein_coding,3122.33151,4858.67123,3796.052771,4538.066424,2211.478243,3387.812425,0.78396964514386,6,TRUE,2 - putative,Seipin,no
Bsg,ENSMUSG00000023175.15,ENSMUSG00000023175,28480.88465,-0.117928988,0.14531191,-0.811557619,0.417045518,0.744406254,10,1,79704491,79711969,protein_coding,24358.1171,31417.27715,28635.90806,30242.40563,27946.76609,29071.36948,0.128189986876197,6,TRUE,1 - high confidence,Basigin,CD147
Bst2,ENSMUSG00000046718.8,ENSMUSG00000046718,1840.911692,0.53305175,0.382639808,1.393090154,0.16359253,0.490208573,8,-1,71534255,71537456,protein_coding,2116.292818,1246.701141,2151.761482,1151.617111,2779.816818,1573.826865,0.309619097869668,6,TRUE,1 - high confidence,Bone marrow stromal antigen 2,CD317
Btd,ENSMUSG00000021900.10,ENSMUSG00000021900,736.6628342,-0.691571466,0.437228629,-1.581715879,0.113714446,0.412664935,14,1,31641028,31668579,protein_coding,681.6365055,815.8458124,1174.933214,727.0242938,313.2006407,659.8119001,0.384402432462516,6,TRUE,1 - high confidence,Biotinidase,no
Btla,ENSMUSG00000052013.15,ENSMUSG00000052013,284.6606363,0.794991414,0.963221743,0.825346208,0.409175065,0.738113703,16,1,45224315,45257670,protein_coding,374.7172879,55.77505376,80.46237607,522.8788743,144.1809698,592.9029444,0.131876731968483,6,TRUE,1 - high confidence,B- and T-lymphocyte attenuator,CD727
Cables2,ENSMUSG00000038990.14,ENSMUSG00000038990,445.3250508,0.281460512,0.360213589,0.781371165,0.434584225,0.756543188,2,-1,180258540,180273496,protein_coding,483.2293137,310.3227745,467.739576,470.2064858,585.5643933,417.718222,0.121166274812357,6,TRUE,3 - unspecific,CDK5 and ABL1 enzyme substrate 2,no
Cacna1c,ENSMUSG00000051331.15,ENSMUSG00000051331,25.17779059,-0.462692178,2.413996129,-0.191670638,0.848000207,0.958612581,6,-1,118587240,119196418,protein_coding,53.45357376,62.11759011,31.07147156,0,13.69591319,0,0.0183568755497156,4,TRUE,1 - high confidence,Voltage-dependent L-type calcium channel subunit alpha-1C,no
