mgi_symbol,id,ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,strand,start_position,end_position,gene_biotype,M351WT,M352Mdmx,M371Mdmx,M380Mdmx,M383WT,M396WT,neglog10_padj,n_samples_above0,is_surface,CSPA_category,UP_Protein_name,CD
"",ENSMUSG00000115423.2,ENSMUSG00000115423,773.9385509,0.284867834,0.478853495,0.594895594,0.551913263,0.89812323,2,-1,136881271,136891389,protein_coding,586.3366641,734.7110913,1325.508327,488.0705097,661.2222801,833.4229804,0.0466640704181394,6,TRUE,"","",""
"",ENSMUSG00000115018.2,ENSMUSG00000115018,380.2324553,0.423369579,1.577836598,0.268322828,0.788450836,0.962475806,2,-1,25244819,25246863,protein_coding,184.7657404,744.5925489,0,565.2609905,557.9818476,226.798318,0.0166101786534946,5,TRUE,"","",""
Abca1,ENSMUSG00000015243.4,ENSMUSG00000015243,526.438491,0.324807813,0.727695987,0.446350975,0.65534374,0.933833526,4,-1,53030787,53159895,protein_coding,603.029167,1141.115553,450.5152994,264.9613616,653.1145943,212.8878046,0.0297305383132965,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 1,no
Abca2,ENSMUSG00000026944.18,ENSMUSG00000026944,1264.385722,0.464030886,0.603761183,0.768566943,0.442150436,0.847450001,2,1,25428703,25448540,protein_coding,1235.694435,981.7114571,479.7253646,2115.791734,702.1267233,635.9956362,0.0718859154615795,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 2,no
Abca3,ENSMUSG00000024130.16,ENSMUSG00000024130,2662.290586,0.076279394,0.337794937,0.225815681,0.82134478,0.97116214,17,1,24351950,24410201,protein_coding,2921.445637,2563.163671,1914.723871,3985.28463,2519.454796,2536.249418,0.012708256571101,6,TRUE,2 - putative,ATP-binding cassette sub-family A member 3,no
Abca7,ENSMUSG00000035722.15,ENSMUSG00000035722,1111.179642,0.137064324,0.340517889,0.402517251,0.687303395,0.942496713,10,1,79996494,80015572,protein_coding,1276.270499,1050.714001,987.2723066,1459.585989,776.6565845,1109.139071,0.025720155741216,6,TRUE,1 - high confidence,ATP-binding cassette sub-family A member 7,no
Abcc1,ENSMUSG00000023088.17,ENSMUSG00000023088,1853.460144,0.083101968,0.374133021,0.222118775,0.824221422,0.97116214,16,1,14361558,14475737,protein_coding,1471.528793,2514.513849,1984.307725,1140.335382,2029.441445,1790.87241,0.012708256571101,6,TRUE,1 - high confidence,Multidrug resistance-associated protein 1,no
Abcc5,ENSMUSG00000022822.16,ENSMUSG00000022822,1573.703198,0.214171009,0.205336734,1.043023355,0.296937476,0.758101647,16,-1,20331303,20426394,protein_coding,1546.411235,1756.965064,1995.450341,1570.517232,1474.122628,1538.554767,0.120272559840789,6,TRUE,2 - putative,Multidrug resistance-associated protein 5,no
Abhd14a,ENSMUSG00000042210.17,ENSMUSG00000042210,3129.61509,-0.312143973,0.267368034,-1.167469305,0.243020897,0.707669967,9,-1,106440051,106447678,protein_coding,2992.424706,2431.742003,2280.958068,3561.946014,3640.689119,3579.935508,0.150169235146392,6,TRUE,3 - unspecific,Abhydrolase domain-containing protein 14A,no
Acaa2,ENSMUSG00000036880.10,ENSMUSG00000036880,8416.645803,-0.152020791,0.262557331,-0.579000366,0.562588926,0.90192947,18,1,74779197,74806208,protein_coding,6851.462693,7695.382661,6602.157491,9645.446018,10486.65398,9109.456048,0.0448274225328102,6,TRUE,3 - unspecific,"3-ketoacyl-CoA thiolase, mitochondrial",no
Acly,ENSMUSG00000020917.17,ENSMUSG00000020917,6716.938067,-0.577114726,0.235804741,-2.447426308,0.014388054,0.224870548,11,-1,100476353,100528000,protein_coding,7115.98413,6400.590993,4355.578426,5508.99348,7656.45458,9353.784847,0.648067421748328,6,TRUE,3 - unspecific,ATP-citrate synthase,no
Acp2,ENSMUSG00000002103.15,ENSMUSG00000002103,1355.585052,-0.558123146,0.365962636,-1.52508232,0.127238566,0.55536586,2,1,91202885,91214098,protein_coding,1125.542726,866.8274171,1305.314775,1040.705354,1422.133072,2160.21229,0.255420821145587,6,TRUE,1 - high confidence,Lysosomal acid phosphatase,no
Acvr1,ENSMUSG00000026836.15,ENSMUSG00000026836,149.2119071,1.745480215,1.399224305,1.247462761,0.212227867,0.675215155,2,-1,58388644,58567157,protein_coding,82.7740122,475.5985363,207.7706122,1.909804169,49.16592767,71.17427099,0.170557818664673,6,TRUE,1 - high confidence,Activin receptor type-1,no
Acvr2a,ENSMUSG00000052155.5,ENSMUSG00000052155,302.9655474,0.587026064,0.691145052,0.849352914,0.395684945,0.821990794,2,1,48814109,48903269,protein_coding,321.7902445,437.245534,137.5957974,351.1427485,178.933631,111.6507055,0.0851330463740482,6,TRUE,1 - high confidence,Activin receptor type-2A,no
Acvr2b,ENSMUSG00000061393.14,ENSMUSG00000061393,145.23065,0.376725928,0.932754399,0.403885448,0.686296958,0.942376861,9,1,119402118,119434995,protein_coding,96.00249927,340.2345897,176.4504886,165.9688608,371.6553488,56.46250415,0.0257753860368,6,TRUE,1 - high confidence,Activin receptor type-2B,no
Adam10,ENSMUSG00000054693.14,ENSMUSG00000054693,23823.90968,0.904103924,0.308696032,2.928783751,0.003402911,0.112264253,9,1,70678997,70780229,protein_coding,13987.3805,29438.99841,42642.30028,21274.77631,18839.42018,16785.86271,0.949758509065889,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 10,CD156c
Adam17,ENSMUSG00000052593.16,ENSMUSG00000052593,1984.84301,-0.098585481,0.30021806,-0.328379582,0.742624679,0.953606809,12,-1,21323509,21373632,protein_coding,1865.274006,1778.366151,2394.795225,1725.202236,2669.546789,1740.424353,0.0206306566175028,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 17,CD156b
Adam22,ENSMUSG00000040537.17,ENSMUSG00000040537,1011.563152,1.248168004,0.648386564,1.925036811,0.054224753,0.406397832,5,-1,8072352,8368160,protein_coding,658.4966779,1189.21123,1794.362651,1165.115133,917.715811,157.6343453,0.391048617537494,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 22,no
Adam9,ENSMUSG00000031555.15,ENSMUSG00000031555,538.442752,0.225648932,0.56578816,0.398822294,0.690024149,0.942590997,8,-1,24949611,25016927,protein_coding,632.111733,731.8125959,269.0539869,750.8469637,316.6441078,540.1245583,0.0256767126475618,6,TRUE,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 9,no
Adamtsl4,ENSMUSG00000015850.11,ENSMUSG00000015850,59.087962,-1.424796648,1.756812001,-0.811012588,0.417358442,0.833819069,3,-1,95676201,95687917,protein_coding,86.82290616,0,9.883402469,102.7085255,140.3435154,73.87186151,0.0789281770116197,5,TRUE,1 - high confidence,ADAMTS-like protein 4,no
Adcy6,ENSMUSG00000022994.9,ENSMUSG00000022994,678.0973821,-0.381328557,0.437168906,-0.872268252,0.383062053,0.814076906,15,-1,98589973,98610076,protein_coding,824.2115491,751.4136962,341.4118691,669.0516839,852.0623319,603.391111,0.0893345652904911,6,TRUE,2 - putative,Adenylate cyclase type 6,no
Adcy9,ENSMUSG00000005580.11,ENSMUSG00000005580,445.3107688,0.365005149,0.698058745,0.522886006,0.601053584,0.91640208,16,-1,4287529,4420498,protein_coding,223.5714484,902.8554728,413.015362,191.4209703,433.5323212,506.6194946,0.0379139337433372,6,TRUE,2 - putative,Adenylate cyclase type 9,no
Afp,ENSMUSG00000054932.6,ENSMUSG00000054932,734.5136137,1.148296805,0.719665677,1.595597569,0.110578671,0.524301823,5,1,90490737,90508907,protein_coding,355.5787079,2022.297957,909.9916279,267.878931,547.386132,532.2033673,0.280418632239616,6,TRUE,1 - high confidence,Alpha-fetoprotein,no
Agtr1a,ENSMUSG00000049115.15,ENSMUSG00000049115,347.2957098,-0.434832047,0.768474629,-0.56583787,0.571504,0.907314068,13,1,30336441,30382867,protein_coding,215.5646035,539.2108955,151.56721,226.0296658,747.9997397,266.8075136,0.0422423552889219,6,TRUE,1 - high confidence,Type-1A angiotensin II receptor,no
Alcam,ENSMUSG00000022636.13,ENSMUSG00000022636,806.0529724,0.696692427,0.609560879,1.142941502,0.25306288,0.71567097,16,-1,52248996,52454074,protein_coding,357.6097139,686.1597895,1111.473666,853.3292817,1015.322588,254.5930858,0.145286598860542,6,TRUE,1 - high confidence,CD166 antigen,CD166
Alpl,ENSMUSG00000028766.10,ENSMUSG00000028766,54.7960252,-8.2379521,2.661575279,-3.0951415,0.00196719,0.082534959,4,-1,137741733,137796384,protein_coding,212.5778617,0,1.040045479,0,112.6586025,0,1.08336206011743,3,TRUE,1 - high confidence,"Alkaline phosphatase, tissue-nonspecific isozyme",no
Amigo1,ENSMUSG00000050947.9,ENSMUSG00000050947,155.2369254,0.895497752,1.716025939,0.521843949,0.601778987,0.91640208,3,1,108186335,108192286,protein_coding,117.55246,0,445.8966215,79.95658327,122.6102479,40.90052345,0.0379139337433372,5,TRUE,1 - high confidence,Amphoterin-induced protein 1,no
Angpt1,ENSMUSG00000022309.9,ENSMUSG00000022309,15518.51946,0.863446814,0.353850547,2.440145485,0.014681348,0.227919416,15,-1,42424723,42676977,protein_coding,10350.14702,27183.60283,21676.67826,11177.64618,12316.33022,10131.95539,0.642218676563869,6,TRUE,1 - high confidence,Angiopoietin-1,no
Angptl2,ENSMUSG00000004105.8,ENSMUSG00000004105,34.64950831,-0.59581595,2.649075205,-0.224914698,0.822045635,0.97116214,2,1,33216069,33247717,protein_coding,89.34915462,4.132331492,0,78.80938069,34.91281749,0,0.012708256571101,4,TRUE,1 - high confidence,Angiopoietin-related protein 2,no
Angptl4,ENSMUSG00000002289.16,ENSMUSG00000002289,956.0606522,0.341372769,0.362860162,0.940783266,0.346815938,0.794195085,17,-1,33773750,33781830,protein_coding,655.4692904,890.3786669,893.1929955,1457.366159,957.9432137,929.8335643,0.100072804962873,6,TRUE,1 - high confidence,Angiopoietin-related protein 4,no
Ano6,ENSMUSG00000064210.7,ENSMUSG00000064210,1276.118692,-0.322584226,0.646685415,-0.498827125,0.617901176,0.921040202,15,1,95790843,95974751,protein_coding,1331.772555,1956.321601,303.5618772,812.7301781,1384.467737,1099.313125,0.0357214130977053,6,TRUE,1 - high confidence,Anoctamin-6,no
Anpep,ENSMUSG00000039062.15,ENSMUSG00000039062,23.462529,-2.364283463,1.76405261,-1.340256775,0.180161879,0.639755211,7,-1,79821803,79861059,protein_coding,57.15864632,0,16.7427555,5.77641757,22.28581699,38.26387116,0.19398616796625,5,TRUE,3 - unspecific,Aminopeptidase N,CD13
Antxr2,ENSMUSG00000029338.13,ENSMUSG00000029338,892.208105,1.148448112,0.530284793,2.16571949,0.030332629,0.319863121,5,-1,97882783,98031043,protein_coding,822.3096104,620.6280296,1504.716039,1554.342475,438.9329435,388.7538811,0.495035829529755,6,TRUE,1 - high confidence,Anthrax toxin receptor 2,no
Anxa2,ENSMUSG00000032231.14,ENSMUSG00000032231,2341.280537,0.48824143,0.375351495,1.30075792,0.19334133,0.654248614,9,1,69453620,69491795,protein_coding,1443.973661,3809.017366,2340.306182,2042.087787,1799.706739,2564.482627,0.184257188722914,6,TRUE,1 - high confidence,Annexin A2,no
Ap2m1,ENSMUSG00000022841.15,ENSMUSG00000022841,19046.59476,-0.586714383,0.354330302,-1.655840272,0.09775417,0.495698699,16,1,20535478,20544909,protein_coding,20559.97634,16435.59219,8375.879614,20351.55394,25555.99507,21276.79757,0.304782220933184,6,TRUE,1 - high confidence,AP-2 complex subunit mu,no
Apmap,ENSMUSG00000033096.7,ENSMUSG00000033096,2999.957519,-0.522680401,0.402961335,-1.297098145,0.19459742,0.655310175,2,-1,150583080,150608567,protein_coding,2885.326821,1416.350164,3382.399675,2635.239275,3110.119002,4633.813761,0.183553088701809,6,TRUE,2 - putative,Adipocyte plasma membrane-associated protein,no
Aqp1,ENSMUSG00000004655.5,ENSMUSG00000004655,16036.72117,-1.093121998,0.430006971,-2.542102973,0.011018771,0.195137846,6,1,55336432,55348555,protein_coding,19331.76924,6314.647346,6837.485557,17592.59477,24068.4005,21793.34623,0.709658493214454,6,TRUE,2 - putative,Aquaporin-1,no
Armcx2,ENSMUSG00000033436.13,ENSMUSG00000033436,834.1121109,-0.014881068,0.573657661,-0.025940677,0.979304655,0.99638534,X,-1,134804145,134809221,protein_coding,1589.421807,849.0265975,996.6424091,732.3979885,489.2986458,508.0118188,0.00157267094277929,6,TRUE,3 - unspecific,Armadillo repeat-containing X-linked protein 2,no
Art2b,ENSMUSG00000030651.5,ENSMUSG00000030651,16.96440065,-4.581289274,2.703417302,-1.694628968,0.090145828,0.483607072,7,-1,101576970,101585600,protein_coding,83.35074724,0,3.122292701,0.961559116,13.59192903,0,0.315507356884634,4,TRUE,1 - high confidence,T-cell ecto-ADP-ribosyltransferase 2,no
