RetainedRef	DuplicateRef
ENSMUST00000152394.1	ENSMUST00000121905.1
ENSMUST00000207881.1	ENSMUST00000208134.1
ENSMUST00000179084.1	ENSMUST00000178544.1
ENSMUST00000184268.1	ENSMUST00000179691.1
ENSMUST00000184268.1	ENSMUST00000184396.1
ENSMUST00000184268.1	ENSMUST00000103869.3
ENSMUST00000160474.7	ENSMUST00000159887.1
ENSMUST00000185921.1	ENSMUST00000185825.1
ENSMUST00000122242.7	ENSMUST00000188964.6
ENSMUST00000170931.1	ENSMUST00000164537.1
ENSMUST00000190912.6	ENSMUST00000190984.6
ENSMUST00000190912.6	ENSMUST00000187851.1
ENSMUST00000190912.6	ENSMUST00000188742.1
ENSMUST00000190912.6	ENSMUST00000190528.1
ENSMUST00000190912.6	ENSMUST00000185638.1
ENSMUST00000190912.6	ENSMUST00000187495.2
ENSMUST00000190912.6	ENSMUST00000188076.1
ENSMUST00000190912.6	ENSMUST00000185955.1
ENSMUST00000179916.1	ENSMUST00000179261.1
ENSMUST00000179916.1	ENSMUST00000178553.1
ENSMUST00000236485.1	ENSMUST00000237580.1
ENSMUST00000191180.1	ENSMUST00000185485.5
ENSMUST00000191180.1	ENSMUST00000187471.1
ENSMUST00000191180.1	ENSMUST00000190214.1
ENSMUST00000191180.1	ENSMUST00000185252.1
ENSMUST00000191180.1	ENSMUST00000187125.1
ENSMUST00000191180.1	ENSMUST00000190299.1
ENSMUST00000189397.6	ENSMUST00000189123.1
ENSMUST00000180335.1	ENSMUST00000118934.1
ENSMUST00000192466.1	ENSMUST00000194971.1
ENSMUST00000189226.6	ENSMUST00000188925.1
ENSMUST00000238890.1	ENSMUST00000013759.5
ENSMUST00000178295.1	ENSMUST00000116948.2
ENSMUST00000185235.1	ENSMUST00000189835.1
ENSMUST00000185235.1	ENSMUST00000187971.1
ENSMUST00000185235.1	ENSMUST00000186675.1
ENSMUST00000185235.1	ENSMUST00000186138.1
ENSMUST00000185235.1	ENSMUST00000186800.1
ENSMUST00000195858.1	ENSMUST00000177646.1
ENSMUST00000195858.1	ENSMUST00000179262.1
ENSMUST00000195858.1	ENSMUST00000179166.1
ENSMUST00000220528.1	ENSMUST00000223236.1
ENSMUST00000103799.1	ENSMUST00000180244.1
ENSMUST00000103799.1	ENSMUST00000103761.1
